Seat Class,Row,Column,Seat Number,Availability Status,Price
 class CLUB,N,1,1,Unavailable,200
 class CLUB,N,2,2,Unavailable,200
 class CLUB,N,3,3,Available,200
 class CLUB,N,4,4,Available,200
 class CLUB,N,5,5,Available,200
 class CLUB,N,6,6,Available,200
 class CLUB,N,7,7,Available,200
 class CLUB,N,8,8,Available,200
 class CLUB,N,9,9,Available,200
 class CLUB,N,10,10,Available,200
 class CLUB,N,11,11,Available,200
 class CLUB,N,12,12,Available,200
 class CLUB,N,13,13,Available,200
 class CLUB,N,14,,Available,200
 class CLUB,N,15,,Available,200
 class CLUB,M,2,1,Available,200
 class CLUB,M,3,2,Available,200
 class CLUB,M,4,3,Available,200
 class CLUB,M,5,4,Available,200
 class CLUB,M,6,5,Unavailable,200
 class CLUB,M,7,6,Available,200
 class CLUB,M,8,7,Available,200
 class CLUB,M,9,8,Available,200
 class CLUB,M,10,9,Available,200
 class CLUB,M,11,10,Available,200
 class CLUB,M,15,,Available,200
 class CLUB,M,16,,Available,200
 class CLUB,L,2,1,Available,200
 class CLUB,L,3,2,Available,200
 class CLUB,L,4,3,Available,200
 class CLUB,L,5,4,Available,200
 class CLUB,L,6,5,Available,200
 class CLUB,L,7,6,Available,200
 class CLUB,L,8,7,Available,200
 class CLUB,L,9,8,Available,200
 class CLUB,L,10,9,Available,200
 class CLUB,L,11,10,Available,200
 class CLUB,L,15,,Available,200
 class CLUB,L,16,,Available,200
 class CLUB,L,17,,Available,200
 class CLUB,L,18,,Available,200
 class CLUB,K,2,1,Unavailable,200
 class CLUB,K,3,2,Unavailable,200
 class CLUB,K,4,3,Unavailable,200
 class CLUB,K,5,4,Unavailable,200
 class CLUB,K,6,5,Unavailable,200
 class CLUB,K,7,6,Unavailable,200
 class CLUB,K,8,7,Unavailable,200
 class CLUB,K,9,8,Unavailable,200
 class CLUB,K,10,9,Available,200
 class CLUB,K,11,10,Available,200
 class CLUB,K,15,,Available,200
 class CLUB,K,16,,Available,200
