Theatre Name,Date,Time,Total Tickets,Unavailable Tickets,Available Tickets,Total Tickets Cost,Total Unavailable Tickets Cost,Total Available Tickets Cost,Updated Time
"PVR INOX Megaplex Mall of Asia, Bangalore",Wed-18 Sep,"06:15 PM
2D",212,19,193,42280,4020,38260,2024-09-18_16-51-40
"PVR INOX Megaplex Mall of Asia, Bangalore",Wed-18 Sep,"09:30 PM
2D",47,4,43,24650,2200,22450,2024-09-18_16-52-04
"PVR INOX Megaplex Mall of Asia, Bangalore",Wed-18 Sep,"10:30 PM
2D",171,11,160,32640,2200,30440,2024-09-18_16-52-18
"Miraj Cinemas : TGN Lotus Elite Sunkadakatte, Bengaluru",Wed-18 Sep,"07:00 PM
2D",227,0,227,46720,0,46720,2024-09-18_16-55-13
"Miraj Cinemas : TGN Lotus Elite Sunkadakatte, Bengaluru",Wed-18 Sep,"10:30 PM
2D",227,0,227,46720,0,46720,2024-09-18_16-55-36
