Seat Class,Total Tickets,Total Booked Tickets,Total Available Tickets,Total Tickets Cost,Total Booked Tickets Cost,Total Available Tickets Cost
Diamond Class_150.0,255,135,120,38250.0,20250.0,18000.0
Gold Class_130.0,318,206,112,41340.0,26780.0,14560.0
Silver Class_100,158,158,0,15800.0,15800.0,0.0
TOTAL,731,499,232,95390.0,62830.0,32560.0
